id,prev_price,replace_time,satisfaction_score
27,37,4,4
52,38,4,4
53,40,4,4
65,42,4,4
71,29,5,4
87,36,4,4
106,36,4,4
111,40,4,4
113,29,4,4
117,32,4,4
122,31,4,4
125,48,4,4
236,34,4,4
254,44,4,4
255,40,4,4
310,30,4,4
318,36,5,4
345,40,4,4
350,36,4,4
368,41,4,5
395,32,4,4
405,33,4,4
420,41,4,4
428,35,4,4
445,37,4,4
462,35,4,4
478,38,4,3
505,43,4,3
521,33,4,4
532,36,4,4
553,32,4,4
569,38,4,4
573,32,4,4
580,35,4,4
585,37,4,4
591,34,4,4
621,42,4,4
647,40,4,4
659,39,4,4
665,34,4,4
673,37,4,4
676,32,4,4
712,35,4,4
728,33,3,4
738,29,4,4
746,32,4,4
767,46,4,4
775,39,4,4
782,35,4,4
797,41,4,4
832,39,4,4
835,39,4,5
845,38,4,4
848,39,4,4
870,37,4,4
880,29,4,4
902,33,4,5
904,42,4,4
906,35,4,4
924,30,3,4
931,41,4,4
973,34,4,4
982,34,3,4
1010,39,4,4
1017,30,4,4
1028,36,4,4
1043,39,4,4
1054,33,4,4
1062,39,4,4
1063,31,4,4
1076,37,4,4
1088,29,4,3
1095,38,4,4
1137,31,4,4
1138,34,4,4
1158,42,4,4
1184,32,4,4
1232,31,4,4
1245,38,4,4
1263,39,4,4
1270,31,4,4
1284,38,5,4
1285,34,4,4
1321,33,4,4
1350,36,4,4
1406,39,4,4
1434,39,4,4
1476,32,4,3
1501,38,4,4
1509,37,4,4
1554,32,4,4
1567,38,4,4
1574,43,4,4
1593,42,4,3
1613,29,4,4
1630,37,3,4
1638,41,4,4
1641,36,4,4
1653,41,4,4
1733,39,4,4
1745,34,4,4
1746,34,4,4
1762,29,4,4
1764,32,4,4
1768,39,4,4
1797,33,4,4
1814,39,4,3
1862,39,4,4
1866,37,4,5
1868,40,5,4
1871,37,4,4
1893,39,4,4
1896,33,4,4
1904,41,4,4
1955,33,4,4
2001,38,4,4
2014,36,4,4
2016,37,4,4
2043,36,4,4
2054,39,4,4
2055,35,4,4
2060,31,4,4
2076,38,4,4
2079,31,5,4
2149,37,4,4
2159,35,4,4
2164,34,4,4
2169,41,4,4
2193,41,4,4
2204,33,4,5
2219,36,4,4
2249,29,4,4
2259,39,4,4
2263,25,4,4
2292,38,4,4
2316,32,5,4
2329,32,4,4
2350,36,3,4
2369,33,4,4
2398,37,4,4
2399,38,4,4
2432,35,4,3
2440,35,4,4
2478,30,4,4
2480,41,4,4
2510,34,4,5
2540,33,4,4
2546,32,4,4
2560,42,3,4
2571,37,4,4
2598,38,5,4
2601,36,4,4
2628,38,4,4
2631,38,4,4
2632,33,4,4
2639,40,4,4
2647,39,4,4
2659,37,4,4
2660,30,4,4
